MaterialTicker,ExchangeCode,CompanyId,CompanyName,CompanyCode,ItemCount,ItemCost
AAR,AI1,0eae34a7f494447a553bc4cc8f3067c0,Zeiss Cooperative,ZSC,41,16000
AAR,AI1,0f7f731c774c298106289e11ceacf521,Kalleria,KALL,68,39000
AAR,AI1,0eae34a7f494447a553bc4cc8f3067c0,Zeiss Cooperative,ZSC,12,15900
AAR,AI1,0f7f731c774c298106289e11ceacf521,Kalleria,KALL,396,16400
AAR,AI1,68d282e10b2650dee8c75ff76cb16d38,Lumber Liquidators,MM,291,16300
AAR,CI1,d2b11009b4d4d0f556e660ca8a54e638,Zen Interstellar Propellant,ZIPP,2,18900
AAR,CI1,3679d54719311298ef600db1a9fb9dca,Dark Wood,DAN,10,34800
AAR,CI1,bc22dadf6a993f55a4941f3345b15f4a,Soletta Engineering,SLE,118,19000
AAR,CI1,a13eac31e6ac894649202e797402da1d,Ascensus,ACS,50,19900
AAR,CI1,3679d54719311298ef600db1a9fb9dca,Dark Wood,DAN,3,29900
AAR,NC1,68d282e10b2650dee8c75ff76cb16d38,Lumber Liquidators,MM,808,20000
AAR,NC1,68d282e10b2650dee8c75ff76cb16d38,Lumber Liquidators,MM,234,17900
AAR,NC2,f471bf7003ea3b343f09fda3b6706596,Highlander,HGH,3,16200
ABH,AI1,68d282e10b2650dee8c75ff76cb16d38,Lumber Liquidators,MM,117,59500
ABH,AI1,9dbde260076d0b8b7d1cab8cc673a31b,Aether Manufacturing,AMU,22,57800
ABH,AI1,358e3f9df7518e4003ad43279204b06e,Satisfation Inc,GSXR,50,59400
ABH,AI1,68d282e10b2650dee8c75ff76cb16d38,Lumber Liquidators,MM,239,64000
ABH,AI1,328bbbb2ebbea27aa642ba0400760895,The Gravy Company,GC,45,58000
ABH,AI1,68d282e10b2650dee8c75ff76cb16d38,Lumber Liquidators,MM,268,62000
ABH,AI1,38fbb23f7e87f7ac2710933b81940a2b,Rahej Incorporated,RAH,92,57900
ABH,AI1,607baf7cad0de7ebc772b2fcdbf6ad85,Infocorp,ICU,20,130000
ABH,AI1,328bbbb2ebbea27aa642ba0400760895,The Gravy Company,GC,110,60000
ABH,CI1,328bbbb2ebbea27aa642ba0400760895,The Gravy Company,GC,300,58000
ABH,CI1,328bbbb2ebbea27aa642ba0400760895,The Gravy Company,GC,300,56000
ABH,CI1,328bbbb2ebbea27aa642ba0400760895,The Gravy Company,GC,194,54000
ABH,CI1,328bbbb2ebbea27aa642ba0400760895,The Gravy Company,GC,100,100000
ABH,CI1,401961f8ff7a37626d3fa85da5d0e1c7,Wisely2,WISE,10,59700
ABH,CI1,328bbbb2ebbea27aa642ba0400760895,The Gravy Company,GC,58,54000
ABH,CI1,fb20f665b042fee339385c4240fed161,Advanced Metal Works,AMW,32,53400
ABH,IC1,358e3f9df7518e4003ad43279204b06e,Satisfation Inc,GSXR,30,61500
ABH,IC1,358e3f9df7518e4003ad43279204b06e,Satisfation Inc,GSXR,54,57900
ABH,IC1,328bbbb2ebbea27aa642ba0400760895,The Gravy Company,GC,95,58000
ABH,IC1,84274e2296ac14d7e4a4ade9a796643e,Rankin Operations Group,ROG,50,57600
ABH,IC1,358e3f9df7518e4003ad43279204b06e,Satisfation Inc,GSXR,10,57700
ABH,IC1,358e3f9df7518e4003ad43279204b06e,Satisfation Inc,GSXR,50,65000
ABH,IC1,84274e2296ac14d7e4a4ade9a796643e,Rankin Operations Group,ROG,1,59400
ABH,IC1,34fc2af8738a2c056a6ee4a1e0904d59,XLMinerals,XLM,24,57800
ABH,IC1,358e3f9df7518e4003ad43279204b06e,Satisfation Inc,GSXR,30,60000
ABH,IC1,c052086ad4ed9ff2e57e898749720b23,Comfy Management,COMA,60,57400
ABH,IC1,358e3f9df7518e4003ad43279204b06e,Satisfation Inc,GSXR,40,68000
ABH,IC1,4f8120bd3ea50c44a1f42bf499295d81,Hydrohomies,HYDR,51,57500
ABH,NC1,68d282e10b2650dee8c75ff76cb16d38,Lumber Liquidators,MM,200,61300
ABH,NC1,d2b11009b4d4d0f556e660ca8a54e638,Zen Interstellar Propellant,ZIPP,4,57300
ABH,NC1,2cd0562566abe945f8ffade70e978aff,Copper Industries,CPPR,19,97500
ABH,NC1,68d282e10b2650dee8c75ff76cb16d38,Lumber Liquidators,MM,150,58000
ABH,NC1,a10ec42262f3d3ba19abc646692d058b,Ninors Nuggets,NNB,10,56900
