PlanetNaturalId,PlanetName,Category,WorkforceLevel,FeeAmount,FeeCurrency
AJ-120b,AJ-120b,FUEL_REFINING,SCIENTIST,20,ICA
AJ-120b,AJ-120b,FUEL_REFINING,ENGINEER,20,ICA
AJ-120b,AJ-120b,FUEL_REFINING,TECHNICIAN,20,ICA
AJ-120b,AJ-120b,FUEL_REFINING,SETTLER,0,ICA
AJ-120b,AJ-120b,FUEL_REFINING,PIONEER,0,ICA
AJ-120b,AJ-120b,FOOD_INDUSTRIES,SCIENTIST,20,ICA
AJ-120b,AJ-120b,AGRICULTURE,PIONEER,20,ICA
AJ-120b,AJ-120b,FOOD_INDUSTRIES,ENGINEER,20,ICA
AJ-120b,AJ-120b,FOOD_INDUSTRIES,TECHNICIAN,20,ICA
AJ-120b,AJ-120b,FOOD_INDUSTRIES,SETTLER,20,ICA
AJ-120b,AJ-120b,FOOD_INDUSTRIES,PIONEER,0,ICA
AJ-120b,AJ-120b,ELECTRONICS,SCIENTIST,20,ICA
AJ-120b,AJ-120b,RESOURCE_EXTRACTION,SCIENTIST,20,ICA
AJ-120b,AJ-120b,RESOURCE_EXTRACTION,ENGINEER,20,ICA
AJ-120b,AJ-120b,RESOURCE_EXTRACTION,TECHNICIAN,20,ICA
AJ-120b,AJ-120b,RESOURCE_EXTRACTION,SETTLER,20,ICA
AJ-120b,AJ-120b,RESOURCE_EXTRACTION,PIONEER,20,ICA
AJ-120b,AJ-120b,METALLURGY,SCIENTIST,20,ICA
AJ-120b,AJ-120b,METALLURGY,ENGINEER,20,ICA
AJ-120b,AJ-120b,METALLURGY,TECHNICIAN,20,ICA
AJ-120b,AJ-120b,AGRICULTURE,SCIENTIST,20,ICA
AJ-120b,AJ-120b,AGRICULTURE,ENGINEER,20,ICA
AJ-120b,AJ-120b,AGRICULTURE,TECHNICIAN,20,ICA
AJ-120b,AJ-120b,AGRICULTURE,SETTLER,20,ICA
AJ-120b,AJ-120b,METALLURGY,SETTLER,20,ICA
AJ-120b,AJ-120b,METALLURGY,PIONEER,20,ICA
AJ-120b,AJ-120b,MANUFACTURING,SCIENTIST,20,ICA
AJ-120b,AJ-120b,ELECTRONICS,ENGINEER,20,ICA
AJ-120b,AJ-120b,ELECTRONICS,TECHNICIAN,20,ICA
AJ-120b,AJ-120b,ELECTRONICS,SETTLER,20,ICA
AJ-120b,AJ-120b,ELECTRONICS,PIONEER,20,ICA
AJ-120b,AJ-120b,CONSTRUCTION,SCIENTIST,20,ICA
AJ-120b,AJ-120b,CONSTRUCTION,ENGINEER,20,ICA
AJ-120b,AJ-120b,CONSTRUCTION,TECHNICIAN,20,ICA
AJ-120b,AJ-120b,CONSTRUCTION,SETTLER,20,ICA
AJ-120b,AJ-120b,CONSTRUCTION,PIONEER,20,ICA
AJ-120b,AJ-120b,CHEMISTRY,SCIENTIST,20,ICA
AJ-120b,AJ-120b,CHEMISTRY,ENGINEER,20,ICA
AJ-120b,AJ-120b,CHEMISTRY,TECHNICIAN,20,ICA
AJ-120b,AJ-120b,CHEMISTRY,SETTLER,20,ICA
AJ-120b,AJ-120b,CHEMISTRY,PIONEER,20,ICA
AJ-120b,AJ-120b,MANUFACTURING,ENGINEER,20,ICA
