Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,16048.0302734375,12,15900,808,55,15000,55,18974.3203125,2,18900,183,70,14000,70,20000,,,0,,,0,17581.490234375,234,17900,1042,6,15500,127,6765.330078125,3,16200,3,,,0,39800,,,0,1,15000,97
ABH,,,57800,22,57800,963,16,51300,1019,53400,32,53400,994,6,51100,283,46000,,,0,,,0,56527.078125,87,56600,717,14,51000,870,24074.48046875,5,60000,32,,,0,57011.75,60,57400,495,25,50100,353
ACS,,,150000,10,160000,60,4,150000,42,150000,,,0,1,150000,21,74556.703125,,,0,,,0,175000,1,180000,28,10,151000,24,124000,,,0,,,0,140000,5,169000,5,10,150000,10
ADE,,,48500,3,48500,714,48,41000,668,43700,90,43600,1187,11,37500,11,43000,,,0,,,0,41000,30,41000,1450,54,38100,642,21210.509765625,7,60000,33,,,0,43900,43,44000,557,2,36000,144
ADR,70000,,100000,4,100000,24,5,75000,115,87889.0234375,5,80000,117,15,70100,115,60000,,,0,,,0,71564.828125,26,90000,169,100,70000,110,29108.779296875,,,0,,,0,90000,47,90000,62,10,71000,110
ADS,,,123361.2109375,6,123000,297,2,117000,33,121262.9921875,2,124000,66,3,111000,25,250000,,,0,,,0,118427,1,117000,236,3,112000,27,55055.921875,1,128000,1,,,0,125000,30,125000,215,9,100000,16
AEF,,,4780.25,518,4960,3788,116,4300,1686,2104.47998046875,11,6190,3147,164,4080,1113,4000,,,0,,,0,5393.64990234375,410,5400,3940,131,4300,1383,4500,27,6000,27,,,0,4344.5,23,4930,656,14,3600,1398
AEN,,,2650000,1,2490000,2,,,0,2447111.75,1,2590000,1,,,0,974291.3125,,,0,1,1000000,1,2200000,1,2390000,3,2,2000000,6,974291.3125,,,0,,,0,974291.3125,1,2390000,2,,,0
AFP,,,134241.84375,,,0,,,0,134241.84375,,,0,,,0,134241.84375,,,0,,,0,30000,,,0,,,0,134241.84375,,,0,,,0,134241.84375,,,0,,,0
AFR,,,22500,17,22500,199,50,18000,186,15000,35,20000,35,20,18000,60,7797.1201171875,,,0,,,0,20000,53,20000,111,20,15000,20,7797.1201171875,,,0,,,0,24000,17,24000,17,,,0
AGS,,,489000,1,489000,6,,,0,596000,1,596000,3,,,0,500000,,,0,,,0,600000,,,0,,,0,219398.5,,,0,,,0,799000,10,798000,12,,,0
