Id,Ticker,CX,Type,Value
AAR-AI1-ask,AAR,AI1,ask,15900
AAR-AI1-avg,AAR,AI1,avg,16048.0302734375
AAR-AI1-bid,AAR,AI1,bid,15000
AAR-AI1-mm-buy,AAR,AI1,mm-buy,
AAR-AI1-mm-sell,AAR,AI1,mm-sell,
AAR-NC1-ask,AAR,NC1,ask,17900
AAR-NC1-avg,AAR,NC1,avg,17581.490234375
AAR-NC1-bid,AAR,NC1,bid,15500
AAR-NC1-mm-buy,AAR,NC1,mm-buy,
AAR-NC1-mm-sell,AAR,NC1,mm-sell,
AAR-NC2-ask,AAR,NC2,ask,16200
AAR-NC2-avg,AAR,NC2,avg,6765.330078125
AAR-NC2-bid,AAR,NC2,bid,
AAR-NC2-mm-buy,AAR,NC2,mm-buy,
AAR-NC2-mm-sell,AAR,NC2,mm-sell,
AAR-CI2-ask,AAR,CI2,ask,
AAR-CI2-avg,AAR,CI2,avg,20000
AAR-CI2-bid,AAR,CI2,bid,
AAR-CI2-mm-buy,AAR,CI2,mm-buy,
AAR-CI2-mm-sell,AAR,CI2,mm-sell,
AAR-CI1-ask,AAR,CI1,ask,18900
AAR-CI1-avg,AAR,CI1,avg,18974.3203125
AAR-CI1-bid,AAR,CI1,bid,14000
AAR-CI1-mm-buy,AAR,CI1,mm-buy,
AAR-CI1-mm-sell,AAR,CI1,mm-sell,
AAR-IC1-ask,AAR,IC1,ask,
AAR-IC1-avg,AAR,IC1,avg,39800
AAR-IC1-bid,AAR,IC1,bid,15000
AAR-IC1-mm-buy,AAR,IC1,mm-buy,
AAR-IC1-mm-sell,AAR,IC1,mm-sell,
ABH-AI1-ask,ABH,AI1,ask,57800
ABH-AI1-avg,ABH,AI1,avg,57800
ABH-AI1-bid,ABH,AI1,bid,51300
ABH-AI1-mm-buy,ABH,AI1,mm-buy,
ABH-AI1-mm-sell,ABH,AI1,mm-sell,
ABH-CI2-ask,ABH,CI2,ask,
ABH-CI2-avg,ABH,CI2,avg,46000
ABH-CI2-bid,ABH,CI2,bid,
ABH-CI2-mm-buy,ABH,CI2,mm-buy,
ABH-CI2-mm-sell,ABH,CI2,mm-sell,
ABH-NC1-ask,ABH,NC1,ask,56600
ABH-NC1-avg,ABH,NC1,avg,56527.078125
ABH-NC1-bid,ABH,NC1,bid,51000
ABH-NC1-mm-buy,ABH,NC1,mm-buy,
ABH-NC1-mm-sell,ABH,NC1,mm-sell,
ABH-NC2-ask,ABH,NC2,ask,60000
ABH-NC2-avg,ABH,NC2,avg,24074.48046875
ABH-NC2-bid,ABH,NC2,bid,
ABH-NC2-mm-buy,ABH,NC2,mm-buy,
ABH-NC2-mm-sell,ABH,NC2,mm-sell,
ABH-IC1-ask,ABH,IC1,ask,57400
ABH-IC1-avg,ABH,IC1,avg,57011.75
ABH-IC1-bid,ABH,IC1,bid,50100
ABH-IC1-mm-buy,ABH,IC1,mm-buy,
ABH-IC1-mm-sell,ABH,IC1,mm-sell,
ABH-CI1-ask,ABH,CI1,ask,53400
ABH-CI1-avg,ABH,CI1,avg,53400
ABH-CI1-bid,ABH,CI1,bid,51100
ABH-CI1-mm-buy,ABH,CI1,mm-buy,
ABH-CI1-mm-sell,ABH,CI1,mm-sell,
ACS-CI2-ask,ACS,CI2,ask,
ACS-CI2-avg,ACS,CI2,avg,74556.703125
ACS-CI2-bid,ACS,CI2,bid,
ACS-CI2-mm-buy,ACS,CI2,mm-buy,
ACS-CI2-mm-sell,ACS,CI2,mm-sell,
ACS-AI1-ask,ACS,AI1,ask,160000
ACS-AI1-avg,ACS,AI1,avg,150000
ACS-AI1-bid,ACS,AI1,bid,150000
ACS-AI1-mm-buy,ACS,AI1,mm-buy,
ACS-AI1-mm-sell,ACS,AI1,mm-sell,
ACS-NC2-ask,ACS,NC2,ask,
ACS-NC2-avg,ACS,NC2,avg,124000
ACS-NC2-bid,ACS,NC2,bid,
ACS-NC2-mm-buy,ACS,NC2,mm-buy,
ACS-NC2-mm-sell,ACS,NC2,mm-sell,
ACS-CI1-ask,ACS,CI1,ask,
ACS-CI1-avg,ACS,CI1,avg,150000
ACS-CI1-bid,ACS,CI1,bid,150000
ACS-CI1-mm-buy,ACS,CI1,mm-buy,
ACS-CI1-mm-sell,ACS,CI1,mm-sell,
ACS-NC1-ask,ACS,NC1,ask,180000
ACS-NC1-avg,ACS,NC1,avg,175000
ACS-NC1-bid,ACS,NC1,bid,151000
ACS-NC1-mm-buy,ACS,NC1,mm-buy,
ACS-NC1-mm-sell,ACS,NC1,mm-sell,
ACS-IC1-ask,ACS,IC1,ask,169000
ACS-IC1-avg,ACS,IC1,avg,140000
ACS-IC1-bid,ACS,IC1,bid,150000
ACS-IC1-mm-buy,ACS,IC1,mm-buy,
ACS-IC1-mm-sell,ACS,IC1,mm-sell,
ADE-IC1-ask,ADE,IC1,ask,44000
ADE-IC1-avg,ADE,IC1,avg,43900
ADE-IC1-bid,ADE,IC1,bid,36000
ADE-IC1-mm-buy,ADE,IC1,mm-buy,
ADE-IC1-mm-sell,ADE,IC1,mm-sell,
ADE-NC1-ask,ADE,NC1,ask,41000
ADE-NC1-avg,ADE,NC1,avg,41000
ADE-NC1-bid,ADE,NC1,bid,38100
ADE-NC1-mm-buy,ADE,NC1,mm-buy,
ADE-NC1-mm-sell,ADE,NC1,mm-sell,
ADE-CI1-ask,ADE,CI1,ask,43600
ADE-CI1-avg,ADE,CI1,avg,43700
ADE-CI1-bid,ADE,CI1,bid,37500
ADE-CI1-mm-buy,ADE,CI1,mm-buy,
